"coluna","descrição","tipo.de.dado","valores.possíveis"
"X","coluna interna que identifica as linhas","fator","1 a infinito"
"dt_notificacao","data da notificação do caso, no formato 'ano-mês-dia'","data","2020-01-13 à última data da base"
"Idade","idade da paciente na base de notificações","inteiros","0 a 120"
"Sexo","sexo da paciente na base de notificações","fator","feminino, masculino, ignorado"
"mun_notificacao","município onde ocorreu a notificação","fator","municípios de Pernambuco"
"dt_primeiros_sintomas","data em que a paciente sentiu os primeiros sintomas","data","2020-01-13 à última data da base"
"sintomas","sintomas sentidos pela paciente","texto","todos os sintomas, com as possíveis combinações"
"comorbidades","comorbidades do histórico do paciente","texto","todos as comorbidades, com as possíveis combinações"
"hospitalizacao","a paciente foi ou não hospitalizada?","fator","não, sim, não sabe"
"classe","classificação final da paciente","fator","confirmado, descartado, em investigação, inconclusivo"
"Resultado","resultado dos exames da paciente","fator","resultados como RINOVÍRUS, INFLUENZA, SARS-COV-2 e possíveis combinações"
"evolucao","evolução da paciente","fator","INTERNADO LEITO DE ISOLAMENTO | INTERNADO UTI | INTERNADO, MAS NÃO ESTÁ EM LEITO DE ISOLAMENTO | ISOLAMENTO DOMICILIAR | ÓBITO | RECUPERADO"
"dt_obito","data de óbito para os pacientes que tiveram essa evolução","data","2020-01-13 à última data da base"
"cd_municipio","código do município no ibge","fator","260005 a 261650"
